Drug,Brand name,Species,Use,Notes,Source URL
"A O E, Animal Odor Eliminator (Canada)",,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/a-o-e-animal-odor-eliminator-can.html
Abelia CeruOtic,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/abelia-ceruotic.html
Abelia MalaOtic,,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/abelia-malaotic.html
Abelia Small Pet Otic,,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/abelia-small-pet-otic.html
Abelia TrisOtic,,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/abelia-trisotic.html
Absorbine Flex+Max Joint Health Supplement Pellets (Canada),,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/absorbine-flex-max-joint-health-supplement-pellets-can.html
Absorbine Flys-X Livestock Ready to Use Insecticide,,"Dog, Cat, Horse, Cattle, Sheep, Goat, Pig, Poultry, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/absorbine-flys-x-livestock-ready-to-use-insecticide.html
Absorbine ShowSheen Hair Polish & Detangler,,"Dog, Cat, Horse, Cattle, Sheep, Goat, Pig","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/absorbine-showsheen-hair-polish-detangler.html
Absorbine Silver Honey Ointment Skin Care (Canada),,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Active Ingredients per application:,https://www.drugs.com/vet/absorbine-silver-honey-ointment-skin-care-can.html
Absorbine Silver Honey Spray Skin Care (Canada),,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Active Ingredients per application:,https://www.drugs.com/vet/absorbine-silver-honey-spray-skin-care-can.html
Absorbine UltraShield EX Insecticide & Repellent,,"Dog, Cat, Horse, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/absorbine-ultrashield-ex-insecticide-repellent.html
Acepromazine Injection,,"Dog, Cat, Horse","used to control nervousness, excessive vocalization, neurotic and excitable behavior, vomiting associated with motion sickness, coughing and itching caused by dermatitis. In horses, Bauman 6 had good ","To report suspected adverse reactions, to obtain a Material Safety Data Sheet or for technical assistance, call 1-866-638-2226.",https://www.drugs.com/vet/acepromazine-injection.html
Acepromazine maleate Injection,,"Dog, Cat, Horse","used to control nervousness, excessive vocalization, neurotic and excitable behavior, vomiting associated with motion sickness, coughing and itching caused by dermatitis. In horses, Bauman 6 had good ","serious adverse reactions include behavioral disorders in dogs such as aggression, biting/chewing, and nervousness.",https://www.drugs.com/vet/acepromazine-maleate-injection.html
Acepromazine maleate Tablets,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","To report suspected adverse reactions, to obtain a Safety Data Sheet or for technical assistance, call1-855-724-3461.",https://www.drugs.com/vet/acepromazine-maleate-tablets.html
Acepromazine Tablets,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","To report suspected adverse reactions, to obtain a Material Safety Data Sheet or for technical assistance, call 1-866-638-2226.",https://www.drugs.com/vet/acepromazine-tablets.html
Acetylator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Not for human consumption. Keep out of the reach of children and animals. In case of accidental overdose, contact a health professional immediately.",https://www.drugs.com/vet/acetylator.html
Acevet 25 Injectable (Canada),,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",PRESENTATIONS: 100 mL bottles.,https://www.drugs.com/vet/acevet-25-injectable-can.html
Acid-A-Foam EVO,,"Dog, Cat, Horse, Cattle, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/acid-a-foam-evo.html
Acti-Flex K9,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/acti-flex-k9.html
Acti-Flex K9 Platinum Hip and Joint Chews,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/acti-flex-k9-platinum-hip-and-joint-chews.html
Actistatin Canine Large Dog Soft Chew (Canada),,"Dog, Cat, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Store in a dry area. Keep lid closed when not in use.,https://www.drugs.com/vet/actistatin-canine-large-dog-soft-chew-can.html
Actistatin Canine Large Dog Soft Chews,,"Dog, Cat, Cattle, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Store in a dry area. Keep lid closed when not in use.,https://www.drugs.com/vet/actistatin-canine-large-dog-soft-chews.html
Actistatin Canine Small Bites Small Dog Soft Chews,,"Dog, Cat, Cattle, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Store in a dry area.,https://www.drugs.com/vet/actistatin-canine-small-bites-small-dog-soft-chews.html
Activated Charcoal Gel (Dogs & Cats),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/activated-charcoal-gel-dogs-cats.html
Activated Charcoal Gel (Multi-Species),,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/activated-charcoal-gel-multi-species.html
